order_id,customer,total_windows,total_m2,deadline,priority,status
ORD-2026-0001,"Quinta de Cravel, Vale do Douro",2,1.8,2026-08-13,1,completed
ORD-2026-0002,"Belmond Hotel, Porto",4,1.92,2026-08-02,4,open
ORD-2026-0003,"Souto de Moura Arquitectos, Porto",10,90.0,2026-07-10,1,active
ORD-2026-0004,"Grupo Teixeira Duarte, Lisboa",5,13.2,2026-08-06,4,active
ORD-2026-0005,"Condomínio Quinta do Lago, Algarve",11,9.9,2026-07-06,3,in_progress
ORD-2026-0006,"Souto de Moura Arquitectos, Porto",7,32.76,2026-06-19,5,open
ORD-2026-0007,"Grupo Teixeira Duarte, Lisboa",9,64.8,2026-07-16,5,in_progress
ORD-2026-0008,"Villa Privée, Saint Tropez, França",5,7.2,2026-07-27,1,in_progress
ORD-2026-0009,"Villa Privée, Saint Tropez, França",7,3.36,2026-08-12,5,completed
ORD-2026-0010,"Residência Dr. Marques, Cascais",10,90.0,2026-07-30,4,completed
ORD-2026-0011,"Atelier Rui Veloso Arquitectura, Porto",10,90.0,2026-08-14,5,in_progress
ORD-2026-0012,"Belmond Hotel, Porto",4,15.0,2026-06-16,1,completed
ORD-2026-0013,"Emaar Beachfront Residence, Dubai",12,5.76,2026-08-03,2,in_progress
ORD-2026-0014,"Belmond Hotel, Porto",2,18.0,2026-08-09,3,open
ORD-2026-0015,"Quinta de Cravel, Vale do Douro",9,18.0,2026-07-19,5,in_progress
ORD-2026-0016,"Residência Dr. Marques, Cascais",12,108.0,2026-07-31,3,in_progress
ORD-2026-0017,"The Peninsula Hotel, London",1,1.44,2026-06-29,4,open
ORD-2026-0018,"Residência Dr. Marques, Cascais",9,81.0,2026-07-26,4,completed
ORD-2026-0019,"Belmond Hotel, Porto",8,37.44,2026-08-12,1,completed
ORD-2026-0020,"Souto de Moura Arquitectos, Porto",5,4.5,2026-08-07,4,completed
ORD-2026-0021,"Studio M2, Lisboa",12,56.16,2026-07-13,4,in_progress
ORD-2026-0022,"Grupo Teixeira Duarte, Lisboa",12,108.0,2026-06-18,4,open
ORD-2026-0023,"Villa Privée, Saint Tropez, França",6,15.84,2026-07-04,2,open
ORD-2026-0024,"The Peninsula Hotel, London",8,11.52,2026-06-21,5,active
ORD-2026-0025,"The Peninsula Hotel, London",2,0.96,2026-07-05,1,in_progress
ORD-2026-0026,"Condomínio Quinta do Lago, Algarve",9,64.8,2026-07-25,5,active
ORD-2026-0027,"Emaar Beachfront Residence, Dubai",10,90.0,2026-06-27,5,in_progress
ORD-2026-0028,"Villa Privée, Saint Tropez, França",3,1.44,2026-08-13,2,in_progress
ORD-2026-0029,"Villa Privée, Saint Tropez, França",3,1.44,2026-07-19,2,in_progress
ORD-2026-0030,"Souto de Moura Arquitectos, Porto",9,50.4,2026-07-28,4,active
ORD-2026-0031,"Grupo Teixeira Duarte, Lisboa",2,2.88,2026-07-24,1,open
ORD-2026-0032,"Residência Dr. Marques, Cascais",1,4.68,2026-08-09,4,in_progress
ORD-2026-0033,"The Peninsula Hotel, London",6,15.84,2026-08-12,5,completed
ORD-2026-0034,"The Peninsula Hotel, London",3,11.25,2026-08-15,3,in_progress
ORD-2026-0035,"Souto de Moura Arquitectos, Porto",8,3.84,2026-07-09,5,open
ORD-2026-0036,"Studio M2, Lisboa",7,10.08,2026-07-05,1,open
ORD-2026-0037,"Villa Privada, La Zagaleta, Espanha",11,51.48,2026-06-16,2,in_progress
ORD-2026-0038,"Hotel Four Seasons, Lisboa",8,11.52,2026-06-26,5,open
ORD-2026-0039,"Villa Privée, Saint Tropez, França",3,11.25,2026-07-03,5,in_progress
ORD-2026-0040,"Condomínio Quinta do Lago, Algarve",7,18.48,2026-07-29,2,in_progress
